"sample.s","b0","divisor","NBod","nsnpi","full","short","fullNBod","fullBBod","fullb0","shrtNBod","shrtBBod","shrtb0"
2,0,1,0.01,4,0.07,0.064,0.00845281767818799,0.00803807457215056,0.000952721912378817,0.00848116315124148,0.00848116315124148,0.00122006608342336
2,0,1,0.1,4,0.072,0.092,0.0917501417677934,0.0959341134752818,0.00170031566283578,0.0924896612973709,0.0924896612973709,0.000693246095437404
2,0,1,0.5,4,0.194,0.202,0.466685982406328,0.501234004910865,-0.00913379235750333,0.476837520642912,0.476837520642912,-0.010115286095192
2,0,1,2,4,0.208,0.232,1.86950111302113,1.89259634493387,0.00962564249706586,1.88764615098292,1.88764615098292,0.00988917710950523
2,0.125,1,0.01,4,0.76,0.774,0.00820727498009921,0.00877473442561787,0.123113822540826,0.00828459755793651,0.00828459755793651,0.122695364189266
2,0.125,1,0.1,4,0.292,0.3,0.0892207630738959,0.0959645850619405,0.123725400366943,0.0913062031057064,0.0913062031057064,0.12173738820167
2,0.125,1,0.5,4,0.242,0.256,0.468204140797032,0.488915094810459,0.119740126626684,0.475915860294729,0.475915860294729,0.118694087556733
2,0.125,1,2,4,0.28,0.288,1.91453463952358,1.90378954540364,0.133200531912714,1.91155926989582,1.91155926989582,0.128894009202081
2,0.25,1,0.01,4,1,1,0.00843498528987083,0.00855467421999071,0.250030226421998,0.00849317906209776,0.00849317906209776,0.249839670607648
2,0.25,1,0.1,4,0.75,0.77,0.0911673757098509,0.093289156792552,0.242948503627697,0.093082982243321,0.093082982243321,0.240973449728427
2,0.25,1,0.5,4,0.484,0.522,0.467013342181789,0.486258127677837,0.269433415444912,0.480771944929467,0.480771944929467,0.269041716736984
2,0.25,1,2,4,0.362,0.384,1.88347165994142,1.96982452920905,0.245718262102866,1.92239042467049,1.92239042467049,0.24800647655277
2,0.5,1,0.01,4,1,1,0.00839317040212453,0.00942993770548875,0.500843029687243,0.00842043305764901,0.00842043305764901,0.500456182905652
2,0.5,1,0.1,4,1,1,0.0929118960907952,0.0933623090488436,0.510381192198761,0.0924542126160958,0.0924542126160958,0.509645242112696
2,0.5,1,0.5,4,0.856,0.866,0.463638808829653,0.482842990766387,0.497773690090651,0.474605304937921,0.474605304937921,0.493898486753827
2,0.5,1,2,4,0.644,0.66,1.90284760561673,1.98952546360597,0.533298013277804,1.93042624214361,1.93042624214361,0.528564159090285
2,1,1,0.01,4,1,1,0.00837739179542362,0.00745200736361159,1.00157732131603,0.00835536355264999,0.00835536355264999,1.00102262432724
2,1,1,0.1,4,1,1,0.0920985631708623,0.0891573083480669,1.01230897306412,0.091571348186857,0.091571348186857,1.01065404366728
2,1,1,0.5,4,1,0.998,0.472143736087304,0.487328526313638,1.01512147438991,0.475593648477611,0.475593648477611,1.02090556256018
2,1,1,2,4,0.948,0.952,1.89505716660833,1.94154374414516,0.995535501061992,1.90924346065649,1.90924346065649,0.997941731744012
